OM,IN,W,A,EC
-321059436.89734834,6066.383667116247,321603719.75746,1996.8677420367512,-1433.9503589429157
616016973.31424,-8470.522503938382,-616573828.266366,1825.7707125462805,-907.0196407032562
-635083035.1507074,11999.655753830313,636158711.8748635,3948.1409707124863,-2836.541384389811
602805502.7896894,-8289.376816705308,-603350540.7249637,1786.6942098862205,-887.6660672078068
-614107795.465221,11602.867750481348,615147811.1688976,3818.180068708785,-2742.9573276495416
576630195.9775709,-7930.467288192805,-577151818.5368692,1709.270777464966,-849.3186842406145
-579591253.0532048,10949.931983667831,580572589.0241734,3604.3070793695892,-2588.9543607212377
537982266.4643489,-7400.506088676078,-538469308.6427222,1594.9477282525984,-792.691183352308
-532188951.5217602,10053.267764690934,533089708.5992627,3310.5673891647266,-2377.45383059484
487588452.4923652,-6709.423658564226,-488030390.953862,1445.8665606714796,-718.8397897616928
-472803244.8578633,8929.969233048618,473603065.0866134,2942.53026496253,-2112.4771023297203
426399015.8184711,-5870.206605941954,-426786166.64282864,1264.8279230546582,-629.1459542423955
-402568084.8892238,7601.516462634478,403248546.24493605,2507.1957414800004,-1799.0779419313587
355571938.4662128,-4898.683331472456,-355895641.3174019,1055.245393750592,-525.2939867689909
-322829749.1014572,6093.409281856475,323374727.47767764,2012.8765724695907,-1443.256876403645
276453470.0156275,-3813.259856069283,-276706255.71451473,821.0885962345878,-409.2430463819821
-235123720.9131763,4434.728205551054,235519712.26791573,1469.056550996851,-1051.8583120146627
190555240.83207294,-2634.6089043218376,-190730979.01950085,566.8161974474099,-283.19444424352184
-141147998.04037416,2657.6276183626337,141384394.55526885,886.2268264916114,-632.451866526716
99528197.97204116,-1385.3157003106796,-99622222.27091236,297.2995647318343,-149.55418634001293
-42733152.771245085,796.7673652993609,42802467.583971016,275.70217886059106,-193.19913883567878
5133681.27517834,-89.48433038698683,-5142889.319649039,17.737994341119663,-10.891392400951462
58190466.25036581,-1111.3094474924317,-58292430.72423114,-350.5805112651317,257.2922610641251
-90787996.81267515,1227.6898586184802,90865070.6264165,-266.4335582980259,130.10693291806774
159627949.7819823,-3028.8447770152084,-159901993.7715768,-980.2787614413706,710.1254730780064
-186351048.16434267,2540.3769010510023,186514189.13783985,-549.6428064323848,270.6842784681671
259556960.2699103,-4917.569484319128,-260000442.07151908,-1600.8730761761265,1156.279673805673
-279659300.6449539,3822.5907166488873,279906601.3633156,-826.2833703325485,408.0655078779104
355966213.4223052,-6739.432907908558,-356573071.0987646,-2199.904098993219,1586.7816406028533
-368842356.2442806,5048.683029207619,369170235.4558458,-1090.8212919445016,539.5091600305922
446894702.6574693,-8457.345848481375,-447655542.1660616,-2765.214676423597,1992.8803830237837
-452092230.50650626,6193.844084186085,452495484.9056424,-1337.902988637759,662.3609308779322
530470994.4114932,-10035.924766154147,-531373245.19025016,-3285.192658938245,2366.222458442609
-527699846.6752128,7234.602306661206,528171734.82714516,-1562.463089938295,774.1068337988141
604951893.6870822,-11442.22337515206,-605980029.816342,-3749.0102112276795,2699.024346297935
-594090708.0470562,8149.313165267075,594623066.2915512,-1759.8299201930383,872.4254920301958
668759732.3953818,-12646.438029124552,-669895557.2236269,-4146.85498667889,2984.2388963008843
-649859058.5870538,8918.628155553115,650442447.5785655,-1925.826727119289,955.2383348612309
720517524.0393057,-13622.572102451688,-721740514.3809596,-4470.148506269869,3215.712290572091
-693799811.0730231,9525.933893975603,694423691.2314343,-2056.866450937022,1020.7567284922964
759081214.8416308,-14349.045209909544,-760368919.7158113,-4711.7469394842055,3388.328157689336
-724937522.4426248,9957.75139537671,725590455.8575226,-2150.037999100925,1067.5249686468344
783568268.6256384,-14809.232170388419,-784896756.1570746,-4866.119575985326,3498.135400362275
-742551701.0569513,10204.085785710016,743221576.6653807,-2203.18177193829,1094.458063641778
793381849.2373067,-14991.918632274064,-794726194.1433451,-4929.5003795649445,3542.456451053782
-746197759.1577778,10258.716853178417,746872037.4474562,-2214.9525190434883,1100.8732938663209
788229902.5628971,-14891.65970555106,-789564705.4783833,-4900.008294297616,3519.972875047045
-735722976.8324752,10119.421803580455,736388949.8255887,-2184.867512545904,1086.5146102075419
768138513.46962,-14509.030399275052,-769438442.2000289,-4777.732311092469,3430.7854961902044
-711276916.1650476,9788.122278331102,711921977.7367349,-2113.3384209736605,1051.5689800242815
733458999.9960593,-13850.756907028772,-734699342.0785644,-4564.777892132336,3276.4465430380637
-673315788.0315032,9270.948703166743,673927709.2779424,-2001.685349296162,996.6739061423904
684868298.712186,-12929.720680008319,-686025513.8973821,-4265.271948372,3059.961942309734
-622600371.7170588,8578.216338222432,623167575.573213,-1852.1318247995944,922.9156172254856
623362310.2348655,-11764.829895124467,-624414570.673422,-3885.3242452905497,2785.7621884442287
-560187247.86645,7724.309667260464,560699076.9794291,-1667.7800158199123,831.817359527211
550242040.9286951,-10380.754867782187,-551169747.1888182,-3432.9440669034625,2459.6411195936153
-487413236.5264801,6727.473410639803,487860208.3957342,-1452.5657524015128,725.3176857229262
467092532.8323433,-8807.526104606037,-467878793.2383511,-2917.912016177421,2088.6623162730075
-405873015.04887307,5609.509543643011,406247058.0337412,-1211.1932381034662,605.7387064380735
375754686.5408498,-7079.999109932837,-376385747.9533094,-2351.6074900384965,1681.0338915810205
-317390130.6769135,4395.38332165648,317684794.9207831,-949.0502564401776,475.74446141550254
278290317.54906434,-5237.192202353607,-278755936.2724885,-1746.7940495115142,1245.953005781724
-223981822.15517354,3112.743816661545,224192459.87489069,-672.1045772088199,338.29004714729916
176940981.10841754,-3321.504586459132,-177234723.23557642,-1117.3654090448094,793.4222930406906
-127818042.82072163,1791.3638429058385,127941952.21319905,-386.78336140713344,196.56209184535183
74081155.03016777,-1377.8313620092538,-74200617.08074726,-478.05639760526816,334.04131015179496
-31175552.70704473,462.5117722469344,31212081.2650118,-99.83742999290067,53.91168207766071
-27833257.379548375,547.4122282558807,27886315.59868038,155.87601555050088,-121.22330975580667
63612207.77861106,-841.7358515519026,-63661604.93638802,181.80698072388265,-86.21907371404511
-126320184.94982117,2407.335025835088,126539801.25962424,768.9952974724165,-561.2843894701172
154208343.32672155,-2089.224987780066,-154340092.8663233,451.20602706404645,-220.3753508121445
-218929176.06136793,4155.662555724563,219305244.84037217,1346.044373328718,-975.1922972535616
